CustomerName,ProductSpecifics,DeliverySchedule,SteelWirePrice,PowderPaintCost,ElectricityCost,MarketDemand,Quantity,Profit(%),BasePrice,SalesPrice,ProposalPrice,CustomerReturn
Meyer-Fisher,Welded Wire Fence,2023-02-26,594.6,2.34,86.15,50,139,7,695.59,744.2813,103455.1007,Accepted
Hobbs-Grant,Welded Wire Fence,2023-06-04,618.54,2.16,88.05,100,60,12,733.7499999999999,821.7999999999998,49307.99999999999,Negotiation
Frazier Lopez and Moore,Welded Wire Fence,2023-11-19,602.92,3.07,83.06,75,134,12,707.8,792.7359999999999,106226.62399999998,Accepted
Ferguson-Brown,Welded Wire Fence,2023-06-29,639.5,2.62,91.16,100,6,10,758.28,834.108,5004.647999999999,Rejected
Miller-White,Welded Wire Fence,2023-08-07,609.24,3.38,87.7,100,13,10,725.32,797.8520000000001,10372.076000000001,Negotiation
Perez-Patterson,Welded Wire Fence,2023-12-19,600.4,2.8,86.42,50,92,7,702.1199999999999,751.2683999999999,69116.69279999999,Rejected
Green Harris and Walker,Welded Wire Fence,2023-02-05,598.89,2.73,98.08,50,121,7,712.2,762.0540000000001,92208.53400000001,Accepted
Rodriguez Morales and Martin,Welded Wire Fence,2023-07-08,604.23,3.82,92.4,100,63,12,725.45,812.504,51187.752,Rejected
Jarvis-Powers,Welded Wire Fence,2023-08-10,606.52,3.1,88.07,100,133,12,722.69,809.4128000000001,107651.9024,Negotiation
Morris Wong and Bates,Welded Wire Fence,2023-09-20,615.13,3.97,95.5,100,53,12,739.6,828.3520000000001,43902.656,Rejected
Perkins and Sons,Welded Wire Fence,2023-10-25,601.54,2.4,82.86,75,35,12,705.55,790.2159999999999,27657.559999999998,Rejected
Frederick Alvarado and Johnson,Welded Wire Fence,2023-09-11,623.02,2.51,97.81,100,140,12,748.3399999999999,838.1407999999999,117339.71199999998,Rejected
Casey Ltd,Welded Wire Fence,2023-10-03,607.91,2.59,89.25,75,41,12,718.5,804.72,32993.520000000004,Negotiation
Hopkins Rivera and Pacheco,Welded Wire Fence,2023-11-09,607.57,3.9,99.25,75,3,12,729.47,817.0064,2451.0191999999997,Negotiation
Potter-Miller,Welded Wire Fence,2023-05-13,601.2,3.49,89.83,75,131,12,713.2700000000001,798.8624000000001,104650.9744,Rejected
Lynch Frye and Robertson,Welded Wire Fence,2023-04-28,603.43,2.65,95.39,75,24,12,720.2199999999999,806.6463999999999,19359.5136,Negotiation
Taylor Rogers and Davis,Welded Wire Fence,2023-09-30,612.57,3.04,90.37,100,65,12,730.98,818.6976,53215.344,Accepted
Jackson-Gibson,Welded Wire Fence,2023-04-14,606.53,2.08,97.3,75,33,12,724.66,811.6192,26783.4336,Negotiation
Phillips-Sherman,Welded Wire Fence,2024-01-12,605.29,2.31,83.77,50,41,12,703.8699999999999,788.3343999999998,32321.710399999993,Rejected
Stein-Guzman,Welded Wire Fence,2023-05-29,609.35,3.5,80.56,75,30,12,712.1600000000001,797.6192000000001,23928.576,Negotiation
Brooks Gray and Dennis,Welded Wire Fence,2023-06-17,617.14,2.05,94.99,100,74,12,739.18,827.8815999999999,61263.238399999995,Rejected
